ID,Label,Population
0,Afghanistan,32792523.0
1,Albania,2903749.5
2,Algeria,39205030.5
3,American Samoa,53466.0
4,Angola,27160769.5
5,Anguilla,13728.5
6,Antigua and Barbuda,88765.0
7,Argentina,43024071.5
8,Armenia,2922422.0
9,Aruba,103372.5
10,Australia,23591465.5
11,Austria,8547817.5
12,Azerbaijan,9631138.0
13,Bahamas,382298.0
14,Bahrain,1312848.0
15,Bangladesh,157964928.5
16,Barbados,278348.0
17,Belarus,9472707.5
18,Belgium,11210119.0
19,Belize,348922.5
20,Benin,11030003.5
21,Bermuda,63529.0
22,Bhutan,733139.5
23,Bolivia,10848888.5
24,Bosnia and Herzegovina,3564829.0
25,Botswana,2172044.0
26,Brazil,200085127.0
27,British Virgin Islands,32962.0
28,Brunei,416750.5
29,Bulgaria,7223449.5
30,Burkina Faso,18229461.0
31,Burma,50681633.5
32,Burundi,10799785.5
33,Cambodia,15396771.5
34,Cameroon,22059893.0
35,Canada,35634263.5
36,Cape Verde,512325.5
37,Cayman Islands,60160.5
38,Central African Republic,4623182.0
39,Chad,14188678.5
40,Chile,17864195.0
41,China,1387951972.0
42,Christmas Island,1843.0
43,Cocos (Keeling) Islands,544.0
44,Colombia,46565428.5
45,Comoros,711502.5
46,Congo (Brazzaville),4975880.0
47,Congo (Kinshasa),78403242.0
48,Cook Islands,17532.5
49,Costa Rica,4767119.0
50,Cote d'Ivoire,24527395.5
51,Croatia,4219479.0
52,Cuba,11285775.5
53,Cyprus,1201800.5
54,Czech Republic,10517225.5
55,Denmark,5643794.0
56,Djibouti,1002717.5
57,Dominica,70373.0
58,Dominican Republic,10315527.5
59,East Timor,1181903.5
60,Ecuador,16035124.5
61,Egypt,97528654.0
62,El Salvador,6162955.0
63,Equatorial Guinea,1399827.5
64,Eritrea,3095172.5
65,Estonia,1314452.0
66,Ethiopia,101115609.5
67,Falkland Islands,3339.0
68,Faroe Islands,48490.5
69,Fiji,917584.5
70,Finland,5461684.0
71,France,64692492.5
72,French Guiana,260550.5
73,French Polynesia,276387.5
74,Gabon,1978399.5
75,Gambia,2164528.0
76,Georgia,3792915.5
77,Germany,81376080.0
78,Ghana,28041592.5
79,Gibraltar,32813.0
80,Greece,10893166.5
81,Greenland,56173.0
82,Grenada,114131.5
83,Guadeloupe,406640.5
84,Guam,165486.0
85,Guatemala,15681725.0
86,Guernsey,62158.5
87,Guinea,11472924.0
88,Guinea-Bissau,1741122.5
89,Guyana,754229.0
90,Haiti,10373235.0
91,Honduras,9063122.5
92,Hong Kong,7319500.5
93,Hungary,9862842.0
94,Iceland,327512.5
95,India,1312277192.0
96,Indonesia,258877399.0
97,Iran,81502045.5
98,Iraq,36550059.0
99,Ireland,4658238.5
100,Isle of Man,83892.5
101,Israel,7897179.0
102,Italy,60664171.5
103,Jamaica,2793749.0
104,Japan,127486604.5
105,Jersey,100568.0
106,Jordan,8791710.5
107,Kazakhstan,17816285.0
108,Kenya,46051440.5
109,Kiribati,115326.5
110,Kuwait,3665766.0
111,Kyrgyzstan,5898319.5
112,Laos,6703171.5
113,Latvia,1994149.0
114,Lebanon,6346990.5
115,Lesotho,2080089.0
116,Liberia,4564293.5
117,Libya,6427251.5
118,Lithuania,2933168.0
119,Luxembourg,556279.0
120,Macau,610304.0
121,Macedonia,1997833.5
122,Madagascar,24764348.0
123,Malawi,16621538.0
124,Malaysia,30696136.5
125,Maldives,413617.0
126,Mali,18020266.5
127,Malta,434484.5
128,Marshall Islands,49796.0
129,Martinique,387014.5
130,Mauritania,3848513.5
131,Mauritius,1292004.5
132,Mayotte,235775.0
133,Mexico,119784261.0
134,Micronesia,108396.0
135,Moldova,3342709.0
136,Mongolia,2913038.5
137,Montenegro,631375.5
138,Morocco,34204780.0
139,Mozambique,25788475.0
140,Namibia,2312138.5
141,Nauru,10742.5
142,Nepal,27672369.5
143,Netherlands,17030088.5
144,Netherlands Antilles,226163.5
145,New Caledonia,281224.5
146,New Zealand,4522983.0
147,Nicaragua,6066491.5
148,Niger,19215909.0
149,Nigeria,185896915.0
150,Niue,1769.0
151,Norfolk Island,1748.0
152,North Korea,25451261.5
153,Northern Mariana Islands,52178.5
154,Norway,5137395.0
155,Oman,4002439.0
156,Pakistan,214264646.5
157,Palau,17715.0
158,Panama,3892100.5
159,Papua New Guinea,8523441.0
160,Paraguay,6069811.0
161,Peru,30115826.0
162,Philippines,103767130.0
163,Poland,38265113.0
164,Portugal,10406198.5
165,Puerto Rico,3565366.5
166,Qatar,2218372.0
167,Reunion,858670.0
168,Romania,19968174.0
169,Russia,144925638.0
170,Rwanda,11364757.0
171,Saint Kitts and Nevis,47089.0
172,Saint Lucia,174138.5
173,Saint Pierre and Miquelon,5961.0
174,Saint Vincent and the Grenadines,107535.0
175,Samoa,200037.0
176,Sao Tome and Principe,196767.0
177,Saudi Arabia,28998128.5
178,Senegal,14152101.5
179,Serbia,7227202.5
180,Seychelles,104654.5
181,Sierra Leone,6876385.0
182,Singapore,5457900.0
183,Slovakia,5415230.5
184,Slovenia,2058400.5
185,Solomon Islands,616908.0
186,Somalia,13339491.0
187,South Africa,55594838.5
188,South Korea,50539055.5
189,South Sudan,11235072.5
190,Spain,46720187.5
191,Sri Lanka,21547456.0
192,Sudan,38823318.0
193,Suriname,575373.0
194,Swaziland,1136299.0
195,Sweden,9696433.5
196,Switzerland,8190235.5
197,Taiwan,23472815.5
198,Tajikistan,8425552.0
199,Tanzania,50351511.5
200,Thailand,70216366.5
201,Togo,7472450.5
202,Tonga,106609.0
203,Trinidad and Tobago,1421131.5
204,Tunisia,11274288.0
205,Turkey,78036154.0
206,Turkmenistan,6075283.0
207,Turks and Caicos Islands,35050.0
208,Tuvalu,10984.0
209,Uganda,36395538.5
210,Ukraine,45972380.5
211,United Arab Emirates,8236874.5
212,United Kingdom,64865916.5
213,United States,323115377.0
214,Uruguay,3356334.5
215,Uzbekistan,30222993.5
216,Vanuatu,260239.5
217,Venezuela,30254079.0
218,Vietnam,91679578.0
219,Virgin Islands,101999.5
220,Wallis and Futuna,12301.0
221,Western Sahara,472579.0
222,Yemen,30226309.0
223,Zambia,15895315.0
224,Zimbabwe,14207358.5
